,name,value
0,pricelin,3.063442271228052
1,25,2.7269700346068397
2,sofa,2.7269700346068397
3,fridg,2.657977163119888
4,remov,2.416815106303
5,luxuri,-2.3789754392937414
6,adult,2.321504926498675
7,soda,2.321504926498675
8,egg,-2.2836652594894167
9,cigarett,-2.2323719651018656
10,millennium,-2.2323719651018656
11,peninsula,2.2161444108408492
12,peel,2.2161444108408492
13,doormen,2.2161444108408492
14,separ,2.2161444108408492
15,shoe,2.2161444108408492
16,settl,-2.17830474383159
17,prior,2.1589859970009
18,larger,2.0983613751844654
19,3rd,2.0983613751844654
20,drain,2.0983613751844654
21,awesom,2.0983613751844654
22,gift,2.0983613751844654
23,secur,2.0983613751844654
24,cake,2.0983613751844654
25,flood,2.0983613751844654
26,depart,2.0983613751844654
27,musti,-2.060521708175207
28,fan,2.0338228540468943
29,ritz,1.9648299825599427
30,today,1.9648299825599427
31,ave,1.9648299825599427
32,courteous,1.9648299825599427
33,engin,1.9648299825599427
34,stark,1.9648299825599427
35,pros,1.9648299825599427
36,sister,1.9648299825599427
37,suppli,1.9648299825599427
38,text,-1.9269903155506842
39,windi,-1.9269903155506842
40,tout,-1.9269903155506842
41,dissatisfi,-1.9269903155506842
42,shown,-1.9269903155506842
43,rare,-1.9269903155506842
44,yellow,-1.9269903155506842
45,minibar,1.8907220104062201
46,awar,1.8907220104062201
47,relax,-1.890622671379809
48,elev,1.8778186055703134
49,tini,1.8752178238702557
